PLACE|LONGITUDE|LATITUDE|COUNT
https://www.wikidata.org/wiki/Q1012|15.26413|46.22909|720
https://www.wikidata.org/wiki/Q72|8.54|47.37861|660
https://www.wikidata.org/wiki/Q61890|9.2575|48.94056|660
https://www.wikidata.org/wiki/Q490|9.19|45.46694|660
https://www.wikidata.org/wiki/Q3852|8.365278|49.63194|600
https://www.wikidata.org/wiki/Q1022|9.1775|48.77611|600
https://www.wikidata.org/wiki/Q131266|15.61667|48.41667|600
https://www.wikidata.org/wiki/Q1721|8.24|50.0825|540
https://www.wikidata.org/wiki/Q430449|13.79944|47.91806|540
https://www.wikidata.org/wiki/Q390125|7.284722|50.57028|540
https://www.wikidata.org/wiki/Q183104|9.598333|47.23806|540
https://www.wikidata.org/wiki/Q13375|10.4|43.71667|480
https://www.wikidata.org/wiki/Q437|14.51667|46.05|480
https://www.wikidata.org/wiki/Q955|3.445278|51.27444|420
https://www.wikidata.org/wiki/Q3942|9.1478|49.97575|420
https://www.wikidata.org/wiki/Q3104|7.597778|50.35972|420
https://www.wikidata.org/wiki/Q260320|14.41667|48.05|420
https://www.wikidata.org/wiki/Q285879|7.895|49.96694|360
https://www.wikidata.org/wiki/Q22737|7.454167|48.25944|360
https://www.wikidata.org/wiki/Q78|7.590556|47.56056|360
https://www.wikidata.org/wiki/Q36378|7.15|46.8|360
https://www.wikidata.org/wiki/Q241889|12.3|50|360
https://www.wikidata.org/wiki/Q255012|13.43167|48.45694|360
https://www.wikidata.org/wiki/Q61942|9.766667|49.5|300
https://www.wikidata.org/wiki/Q483522|13.83333|46.61667|300
https://www.wikidata.org/wiki/Q6606|12.6563|45.9626|300
https://www.wikidata.org/wiki/Q13373|10.51667|43.85|300
https://www.wikidata.org/wiki/Q486548|7.230556|50.57861|300
https://www.wikidata.org/wiki/Q131605|11.16389|46.66889|300
https://www.wikidata.org/wiki/Q13362|11.61987|44.8353|300
https://www.wikidata.org/wiki/Q534634|12.18083|49.45333|240
https://www.wikidata.org/wiki/Q3936|10.89167|49.89167|240
https://www.wikidata.org/wiki/Q263107|14.66028|47.1725|240
https://www.wikidata.org/wiki/Q491535|9.163056|49.23056|240
https://www.wikidata.org/wiki/Q455645|7.3525|47.86556|240
https://www.wikidata.org/wiki/Q251065|13.78278|47.61|240
https://www.wikidata.org/wiki/Q518690|8.360278|49.85556|240
https://www.wikidata.org/wiki/Q489902|10.5|48.85|240
https://www.wikidata.org/wiki/Q586|7.099722|50.73389|240
https://www.wikidata.org/wiki/Q487500|13.49583|46.79167|240
https://www.wikidata.org/wiki/Q1021|14.35561|46.23887|240
https://www.wikidata.org/wiki/Q14910|9.7375|49.11222|180
https://www.wikidata.org/wiki/Q6998|11.74889|48.40278|180
https://www.wikidata.org/wiki/Q2833|7.849722|47.99472|180
https://www.wikidata.org/wiki/Q498212|9.270833|47.69583|180
https://www.wikidata.org/wiki/Q1780|17.11278|48.14472|180
https://www.wikidata.org/wiki/Q752107|16.94194|48.14778|180
https://www.wikidata.org/wiki/Q569639|7.605556|50.30111|180
https://www.wikidata.org/wiki/Q13121|4.033333|50.93333|180
https://www.wikidata.org/wiki/Q7027|12.57583|48.87722|180
https://www.wikidata.org/wiki/Q6231|10.03333|45.13333|180
https://www.wikidata.org/wiki/Q269667|7.795833|47.55389|180
https://www.wikidata.org/wiki/Q3994|10.31667|47.73333|180
https://www.wikidata.org/wiki/Q79815|7.339167|47.74861|180
https://www.wikidata.org/wiki/Q494733|9.19055|50.20268|180
https://www.wikidata.org/wiki/Q262669|12.83333|48.16667|180
https://www.wikidata.org/wiki/Q572921|10.43333|48.56667|180
https://www.wikidata.org/wiki/Q385567|15.2851|47.1351|120
https://www.wikidata.org/wiki/Q253359|11.1|47.56667|120
https://www.wikidata.org/wiki/Q259617|12.23333|48.06083|120
https://www.wikidata.org/wiki/Q68965|7.5375|47.20806|120
https://www.wikidata.org/wiki/Q22636|7.946111|49.0375|120
https://www.wikidata.org/wiki/Q494299|10.86893|48.05277|120
https://www.wikidata.org/wiki/Q22953|7.966667|49.20333|120
https://www.wikidata.org/wiki/Q491743|10.31944|49.07083|120
https://www.wikidata.org/wiki/Q4072|9.652778|48.7025|120
https://www.wikidata.org/wiki/Q278312|13.18833|48.63306|120
https://www.wikidata.org/wiki/Q251678|11.13333|48.45|120
https://www.wikidata.org/wiki/Q491641|12.12833|49.12361|120
https://www.wikidata.org/wiki/Q257859|12.66583|49.21833|120
